Year,County,Target,FirstQuarter ,SecondQuarter,ThirdQuarter,FourthQuarter,Total
2016,Baringo,300000000,77326161,52357215,72750071,76883756,279317203
2017,Baringo,330000000,91426072,59288234,71993883,65810488,288518677
2015,Baringo,255800000,72859999,44782678,63604554,68476198,249723429
2018,Baringo,330000000,92044883,54636535,78377031,76345928,301404377
2014,Baringo,260000000,,,,,201519606
2016,Bomet,188826880,26946036,30397527,47210823,62432901,166987287
2017,Bomet,274724577,100163619,37172887,59790182,39570350,236697038
2015,Bomet,239046286,36431865,25492000,69324853,75137616,206386334
2018,Bomet,200211165,16430740,35042031,74579857,55322715,181375343
2014,Bomet,235948424,,,,,200949332
2016,Bungoma,804045555,102622636,81701379,143303571,303360899,630988485
2017,Bungoma,731896718,105524675,102599218,318591746,134872510,661588149
2015,Bungoma,1075035502,75811736,72008680,156883905,199919322,504623643
2018,Bungoma,865554992,98041085,180479180,182857864,195372010,656750139
2014,Bungoma,2753780000,,,,,182702280
2016,Busia,543066927,108804879,68007563,79863024,77546618,334222084
2017,Busia,587510998,69988384,64398780,70612959,51826116,256826239
2015,Busia,324945073,72432967,63205454,85485931,94077723,315202075
2018,Busia,412155210,32168753,33891921,53433878,56800033,176294585
2014,Busia,366327150,,,,,328993569
2016,Elgeyo Marakwet,295324173,34445140,19973478,40481041,33156075,128055734
2017,Elgeyo Marakwet,160021113,24905877,20542123,30143211,21732762,97323973
2018,Elgeyo Marakwet,160291113,17200000,26669517,32159838,29453840,105483195
2015,Elgeyo Marakwet,132023379,23059797,23122859,29235945,53487170,128905771
2014,Elgeyo Marakwet,85000000,,,,,61001213
2016,Embu,630762379,92648987,71741351,142044601,90090673,396525612
2017,Embu,803772092,101490826,96524887,106261004,111995530,416272247
2015,Embu,748000000,81315514,68543584,141362337,109883668,401105103
2018,Embu,653490000,54785998,70810110,128152587,162362902,416111597
2014,Embu,659165345,,,,,168486515
2016,Garissa,500000000,24763118,20839300,32271143,28070114,105943675
2017,Garissa,350000000,21416486,19785201,21209079,19547385,81958151
2015,Garissa,700000000,26077833,42501612,39083328,23054876,130717649
2018,Garissa,250000000,9873949,15568960,35024568,26220086,86687563
2014,Garissa,150533326,,,,,35892845
2017,Homa Bay,192162868,40697810,30910563,43019119,29504200,144131692
2015,Homa Bay,153687573,31889274,33106437,48718258,44146276,157860245
2014,Homa Bay,140678820,,,,,134985390
2016,Homa Bay,202733667,43487781,39896821,55039062,45341741,183765405
2018,Homa Bay,118664278,15961322,21551806,34526879,34899458,106939465
2016,Isiolo,360000000,36095279,20456913,28470140,25085840,110108172
2017,Isiolo,250000000,37940997,20195760,18608397,18250909,94996063
2015,Isiolo,452699367,49903138,29718731,28865080,25212369,133699318
2018,Isiolo,182861337,33385014,20343958,27436359,33391785,114557116
2014,Isiolo,360000000,,,,,125064066
2016,Kajiado,1232330387,140745739,113341248,208677100,188220891,650984978
2017,Kajiado,1248371716,121297878,104104688,223336412,108355091,557094069
2015,Kajiado,959045150,112293534,124123000,316486406,232934828,785837768
2018,Kajiado,1040794334,37632272,99365367,264863185,280301734,682162558
2014,Kajiado,517000000,,,,,453371648
2016,Kakamega,1000000000,110227243,107367607,143274350,143369092,504238292
2017,Kakamega,894070561,102583711,88484734,109877097,142230478,443176020
2015,Kakamega,903537623,144832562,102901249,126213379,142941834,516889024
2018,Kakamega,774571849,58367467,73634655,152086884,156522025,440611031
2014,Kakamega,2813435319,,,,,325216300
2016,Kericho,440000000,43727216,71558863,133842077,185276407,434404563
2017,Kericho,603346705,62380333,101541664,192943467,133115165,489980629
2015,Kericho,383435490,67326982,68394702,137794483,140065265,413581432
2018,Kericho,554641236,45303791,32077908,149528905,187138106,414048710
2014,Kericho,338692707,,,,,371395186
2016,Kiambu,3308126323,437588339,536460761,841295319,646007095,2461351513
2017,Kiambu,3070000000,403438150,421988774,751619872,455933962,2032980758
2015,Kiambu,3263234585,407222159,375959719,681099313,646575366,2110856557
